iso3,qty,hiv,sex,age,pred,se,txt
BRA,prop,hiv+,both,15-24,0.0413727712815593,0.00360747422434985,4.1 (0.4)
BRA,prop,hiv+,both,25-34,0.0455059698948646,0.00314836874265847,4.6 (0.3)
BRA,prop,hiv+,both,35-44,0.0489229372960378,0.00351377152489227,4.9 (0.4)
BRA,prop,hiv+,both,45-54,0.0505099923377879,0.0035228451886405,5.1 (0.4)
BRA,prop,hiv+,both,55-64,0.0503605306049504,0.00435700772853804,5 (0.4)
BRA,prop,hiv+,both,65+,0.0538221381081562,0.00539392071615375,5.4 (0.5)
BRA,prop,hiv-,both,15-24,0.00522605505605471,0.00101183871762069,0.5 (0.1)
BRA,prop,hiv-,both,25-34,0.00511675030017122,0.000963831385064701,0.5 (0.1)
BRA,prop,hiv-,both,35-44,0.00524627461414078,0.000999323995208526,0.5 (0.1)
BRA,prop,hiv-,both,45-54,0.00584462321771812,0.00110661264360168,0.6 (0.1)
BRA,prop,hiv-,both,55-64,0.00700518031979541,0.00133678177976318,0.7 (0.1)
BRA,prop,hiv-,both,65+,0.00740528367202447,0.00142383738315932,0.7 (0.1)
GBR,prop,hiv-,male,15-24,0.0195311938228206,0.00111084268394534,2 (0.1)
GBR,prop,hiv-,male,25-34,0.0181563570624608,0.00082642354706297,1.8 (0.1)
GBR,prop,hiv-,male,35-44,0.0217626763507729,0.00105474575169267,2.2 (0.1)
GBR,prop,hiv-,male,45-54,0.0210406570292247,0.00119289172518223,2.1 (0.1)
GBR,prop,hiv-,male,55-64,0.0236164175076447,0.00144857400743176,2.4 (0.1)
GBR,prop,hiv-,male,65+,0.0191799781896142,0.00104566686429996,1.9 (0.1)
GBR,prop,hiv-,female,15-24,0.0222596770845573,0.00123997648674568,2.2 (0.1)
GBR,prop,hiv-,female,25-34,0.0206968316343272,0.000952192017791107,2.1 (0.1)
GBR,prop,hiv-,female,35-44,0.0247950114669291,0.00124123481687651,2.5 (0.1)
GBR,prop,hiv-,female,45-54,0.0239748541175106,0.00142493172999684,2.4 (0.1)
GBR,prop,hiv-,female,55-64,0.0268999437636744,0.00169987222377615,2.7 (0.2)
GBR,prop,hiv-,female,65+,0.0218604910056428,0.00119324058464319,2.2 (0.1)
USA,cfr,hiv-,male,15-24,0.142427103744006,0.0491650007172182,14.2 (4.9)
USA,cfr,hiv-,male,15-24,0.142427103744006,0.0491650007172182,14.2 (4.9)
USA,cfr,hiv-,male,15-24,0.142427103744006,0.0491650007172182,14.2 (4.9)
USA,cfr,hiv-,male,15-24,0.142427103744006,0.0491650007172182,14.2 (4.9)
USA,cfr,hiv-,male,15-24,0.142427103744006,0.0491650007172182,14.2 (4.9)
USA,cfr,hiv-,male,25-34,0.202079091943951,0.0402110483041172,20.2 (4)
USA,cfr,hiv-,male,25-34,0.202079091943951,0.0402110483041172,20.2 (4)
USA,cfr,hiv-,male,25-34,0.202079091943951,0.0402110483041172,20.2 (4)
USA,cfr,hiv-,male,25-34,0.202079091943951,0.0402110483041172,20.2 (4)
USA,cfr,hiv-,male,25-34,0.202079091943951,0.0402110483041172,20.2 (4)
USA,cfr,hiv-,male,35-44,0.216907263175545,0.0390502894645492,21.7 (3.9)
USA,cfr,hiv-,male,35-44,0.216907263175545,0.0390502894645492,21.7 (3.9)
USA,cfr,hiv-,male,35-44,0.216907263175545,0.0390502894645492,21.7 (3.9)
USA,cfr,hiv-,male,35-44,0.216907263175545,0.0390502894645492,21.7 (3.9)
USA,cfr,hiv-,male,35-44,0.216907263175545,0.0390502894645492,21.7 (3.9)
USA,cfr,hiv-,male,45-54,0.302893982559833,0.0455832491240671,30.3 (4.6)
USA,cfr,hiv-,male,45-54,0.302893982559833,0.0455832491240671,30.3 (4.6)
USA,cfr,hiv-,male,45-54,0.302893982559833,0.0455832491240671,30.3 (4.6)
USA,cfr,hiv-,male,45-54,0.302893982559833,0.0455832491240671,30.3 (4.6)
USA,cfr,hiv-,male,45-54,0.302893982559833,0.0455832491240671,30.3 (4.6)
USA,cfr,hiv-,male,55-64,0.319026475799986,0.0492837381071496,31.9 (4.9)
USA,cfr,hiv-,male,55-64,0.319026475799986,0.0492837381071496,31.9 (4.9)
USA,cfr,hiv-,male,55-64,0.319026475799986,0.0492837381071496,31.9 (4.9)
USA,cfr,hiv-,male,55-64,0.319026475799986,0.0492837381071496,31.9 (4.9)
USA,cfr,hiv-,male,55-64,0.319026475799986,0.0492837381071496,31.9 (4.9)
USA,cfr,hiv-,male,65+,0.479096977824206,0.0508737994379041,47.9 (5.1)
USA,cfr,hiv-,male,65+,0.479096977824206,0.0508737994379041,47.9 (5.1)
USA,cfr,hiv-,male,65+,0.479096977824206,0.0508737994379041,47.9 (5.1)
USA,cfr,hiv-,male,65+,0.479096977824206,0.0508737994379041,47.9 (5.1)
USA,cfr,hiv-,male,65+,0.479096977824206,0.0508737994379041,47.9 (5.1)
USA,cfr,hiv-,female,15-24,0.143778287501667,0.0488698498654826,14.4 (4.9)
USA,cfr,hiv-,female,15-24,0.143778287501667,0.0488698498654826,14.4 (4.9)
USA,cfr,hiv-,female,15-24,0.143778287501667,0.0488698498654826,14.4 (4.9)
USA,cfr,hiv-,female,15-24,0.143778287501667,0.0488698498654826,14.4 (4.9)
USA,cfr,hiv-,female,15-24,0.143778287501667,0.0488698498654826,14.4 (4.9)
USA,cfr,hiv-,female,25-34,0.20386165728615,0.0457526911741269,20.4 (4.6)
USA,cfr,hiv-,female,25-34,0.20386165728615,0.0457526911741269,20.4 (4.6)
USA,cfr,hiv-,female,25-34,0.20386165728615,0.0457526911741269,20.4 (4.6)
USA,cfr,hiv-,female,25-34,0.20386165728615,0.0457526911741269,20.4 (4.6)
USA,cfr,hiv-,female,25-34,0.20386165728615,0.0457526911741269,20.4 (4.6)
USA,cfr,hiv-,female,35-44,0.21878476485971,0.0415738470367472,21.9 (4.2)
USA,cfr,hiv-,female,35-44,0.21878476485971,0.0415738470367472,21.9 (4.2)
USA,cfr,hiv-,female,35-44,0.21878476485971,0.0415738470367472,21.9 (4.2)
