qty,hiv,sex,age,pred,ci.lb,ci.ub,se,txt
cfr,hiv+,male,15-24,0.531145307085716,0.430273036747966,0.632017577423465,0.0514654440498722,53.1 (5.1)
cfr,hiv+,male,25-34,0.526721641569678,0.468562540916969,0.584880742222386,0.0296730105370962,52.7 (3)
cfr,hiv+,male,35-44,0.497643523302301,0.410690119153885,0.584596927450716,0.044363981708375,49.8 (4.4)
cfr,hiv+,male,45-54,0.671439197994505,0.51921629051562,0.823662105473389,0.0776647487137166,67.1 (7.8)
cfr,hiv+,male,55-64,0.973828275696671,0.77513755521525,1,0.101372816572153,97.4 (10.1)
cfr,hiv+,male,65+,1,0.739987258453182,1,0.132659562013683,100 (13.3)
cfr,hiv+,female,15-24,0.402040926441988,0.313834280484249,0.490247572399727,0.0450033907947649,40.2 (4.5)
cfr,hiv+,female,25-34,0.500980557124196,0.400644040609011,0.601317073639382,0.0511921002628497,50.1 (5.1)
cfr,hiv+,female,35-44,0.52099069335459,0.413620236817816,0.628361149891365,0.0547808451718236,52.1 (5.5)
cfr,hiv+,female,45-54,0.52175562343224,0.394411767076317,0.649099479788163,0.0649713552836343,52.2 (6.5)
cfr,hiv+,female,55-64,0.822184739680894,0.65076587711364,0.993603602248149,0.0874586033506401,82.2 (8.7)
cfr,hiv+,female,65+,1,0.727241292757777,1,0.139162605735828,100 (13.9)
cfr,hiv-,male,15-24,0.078055067987003,0.0536722640267387,0.102437871947267,0.0124404346980826,7.8 (1.2)
cfr,hiv-,male,25-34,0.115084611905335,0.0909817396888134,0.139187484121857,0.0122976097554049,11.5 (1.2)
cfr,hiv-,male,35-44,0.148177303672012,0.12392812090322,0.172426486440803,0.0123722593680627,14.8 (1.2)
cfr,hiv-,male,45-54,0.197308473691134,0.172382655713641,0.222234291668627,0.0127174877569712,19.7 (1.3)
cfr,hiv-,male,55-64,0.230527212475486,0.205052891776085,0.256001533174887,0.0129973412268485,23.1 (1.3)
cfr,hiv-,male,65+,0.351274904076243,0.32469457424943,0.377855233903057,0.0135616419671358,35.1 (1.4)
cfr,hiv-,female,15-24,0.0665756399305238,0.0422596746525662,0.0908916052084814,0.0124063327029266,6.7 (1.2)
cfr,hiv-,female,25-34,0.103605183848856,0.0793669978494315,0.127843369848281,0.0123666486683492,10.4 (1.2)
cfr,hiv-,female,35-44,0.136697875615532,0.112366557180797,0.161029194050268,0.012414166090121,13.7 (1.2)
cfr,hiv-,female,45-54,0.185829045634655,0.160802454848162,0.210855636421147,0.012768903400215,18.6 (1.3)
cfr,hiv-,female,55-64,0.219047784419007,0.193534989856509,0.244560578981505,0.0130169711095406,21.9 (1.3)
cfr,hiv-,female,65+,0.339795476019764,0.313251444494477,0.366339507545051,0.0135431220852337,34 (1.4)
prop,hiv+,male,15-24,0.049690394677846,0.00210180084708418,0.0972789885086079,0.0242803409685763,5 (2.4)
prop,hiv+,male,25-34,0.0559782525384817,0.00931432953000864,0.102642175546955,0.0238085614718189,5.6 (2.4)
prop,hiv+,male,35-44,0.0538038087883988,0.00727338374327219,0.100334233833525,0.0237404490144475,5.4 (2.4)
prop,hiv+,male,45-54,0.0454438832619594,-0.00124439346401401,0.0921321599879328,0.0238209870662138,4.5 (2.4)
prop,hiv+,male,55-64,0.0458187070657468,-0.00223988659124034,0.0938773007227339,0.0245201412046687,4.6 (2.5)
prop,hiv+,male,65+,0.0359317967862576,-0.0143767066101464,0.0862403001826617,0.025668075430585,3.6 (2.6)
prop,hiv+,female,15-24,0.061849178102523,0.0167526276639757,0.10694572854107,0.0230088668946282,6.2 (2.3)
prop,hiv+,female,25-34,0.0681370359631587,0.0240287256312241,0.112245346295093,0.0225046534935618,6.8 (2.3)
prop,hiv+,female,35-44,0.0659625922130758,0.0219619670015026,0.109963217424649,0.0224497110960428,6.6 (2.2)
prop,hiv+,female,45-54,0.0576026666866364,0.0133950138148646,0.101810319558408,0.0225553393942318,5.8 (2.3)
prop,hiv+,female,55-64,0.0579774904904238,0.0123700446765213,0.103584936304326,0.023269532590215,5.8 (2.3)
prop,hiv+,female,65+,0.0480905802109346,0.000443025197226103,0.0957381352246431,0.0243104237575519,4.8 (2.4)
prop,hiv-,male,15-24,0.0145076048544532,0.00770533213984967,0.0213098775690568,0.00347061107666213,1.5 (0.3)
prop,hiv-,male,25-34,0.0135938371991375,0.00682335654111935,0.0203643178571556,0.00345439034156893,1.4 (0.3)
prop,hiv-,male,35-44,0.0166900634018484,0.00987639181959514,0.0235037349841016,0.0034764269323307,1.7 (0.3)
prop,hiv-,male,45-54,0.0152359760651031,0.0084361223924205,0.0220358297377856,0.00346937684892117,1.5 (0.3)
prop,hiv-,male,55-64,0.015972383112333,0.00915890329442593,0.0227858629302401,0.00347632909158072,1.6 (0.3)
prop,hiv-,male,65+,0.0169960092541235,0.0100926517099674,0.0238993667982797,0.00352218591699082,1.7 (0.4)
prop,hiv-,female,15-24,0.0159101897261297,0.00930872901084424,0.0225116504414153,0.00336815409229812,1.6 (0.3)
prop,hiv-,female,25-34,0.014996422070814,0.00843038138408445,0.0215624627575435,0.00335008231708421,1.5 (0.3)
prop,hiv-,female,35-44,0.0180926482735249,0.0114758642988206,0.0247094322482292,0.00337597222545753,1.8 (0.3)
prop,hiv-,female,45-54,0.0166385609367796,0.0100382677609515,0.0232388541126077,0.00336755839795547,1.7 (0.3)
prop,hiv-,female,55-64,0.0173749679840095,0.0107584008846248,0.0239915350833943,0.00337586157275103,1.7 (0.3)
prop,hiv-,female,65+,0.0183985941258001,0.011682891430112,0.0251142968214881,0.00342644188804521,1.8 (0.3)
