year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80+
2001,5,12,2,10,10,46,42,2,1,4,4
2002,6,17,3,3,12,58,37,7,5,7,1
2003,8,12,5,1,9,56,56,7,4,3,1
2004,4,9,3,5,11,54,48,6,2,2,1
2005,4,5,5,1,8,58,50,5,4,3,1
2006,7,5,3,5,13,79,43,6,7,4,0
2007,12,16,4,3,9,74,54,6,6,3,2
2008,13,17,7,5,9,60,68,10,9,7,0
2009,8,6,5,6,15,86,66,9,5,13,5
2010,2,16,6,12,12,86,55,6,6,8,1
2011,5,11,2,5,9,92,70,18,11,7,1
2012,3,4,7,4,9,88,84,7,9,5,4
2013,8,10,4,5,11,91,74,10,7,9,2
2014,5,16,5,3,14,92,77,17,10,8,3
2015,5,15,6,11,24,93,67,16,17,12,2
2016,10,11,2,14,10,83,81,17,11,8,2
2017,4,15,11,4,13,89,80,10,12,14,1
2018,15,26,4,11,17,99,85,30,22,21,6
2019,9,10,7,4,19,95,103,28,15,17,1
