year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80+
2001,21,56,48,24,72,3629,1515,62,32,24,4
2002,15,58,39,31,74,3898,1694,63,31,13,3
2003,11,36,46,31,82,3835,1888,61,39,24,3
2004,15,38,60,33,95,3594,1863,70,38,18,5
2005,14,26,48,26,80,3598,1999,76,34,33,7
2006,22,27,39,35,70,3370,2000,73,39,30,7
2007,19,24,31,34,92,3566,2361,105,42,36,11
2008,17,24,33,51,100,3714,2424,120,53,36,8
2009,21,28,26,44,118,3670,2523,125,73,49,10
2010,27,16,23,34,105,3853,2648,118,61,50,8
2011,19,10,33,63,105,3836,2789,133,62,42,12
2012,20,19,17,36,107,3886,2704,144,74,55,9
2013,37,19,18,34,140,3829,2717,150,85,47,8
2014,27,19,16,21,152,3807,2742,183,89,54,15
2015,19,16,9,21,131,3806,2703,160,70,59,12
2016,19,13,10,19,128,3523,2534,184,87,49,11
2017,17,13,16,16,135,3728,2609,192,85,61,11
2018,17,18,9,20,121,3594,2589,193,104,69,10
2019,28,12,14,19,93,3414,2566,188,118,65,12
