year,<1,1-4,5-9,10-14,15-19,20-39,40-59,60-64,65-69,70-79,80+
2001,4,4,2,0,1,140,62,3,2,1,0
2002,1,0,2,1,4,159,74,2,1,1,0
2003,0,1,3,0,1,163,73,2,0,0,0
2004,0,2,0,2,1,146,80,4,2,0,1
2005,2,0,2,1,2,178,87,1,3,1,0
2006,2,1,1,0,2,151,109,5,1,0,0
2007,1,0,0,3,2,167,139,8,3,0,0
2008,0,1,3,0,4,196,128,6,3,1,0
2009,2,2,3,3,6,175,142,8,4,3,1
2010,1,1,0,1,2,177,129,5,6,2,0
2011,1,0,2,1,8,176,146,5,3,2,0
2012,2,0,0,2,2,171,143,6,1,4,0
2013,4,0,0,2,3,173,164,5,2,4,0
2014,3,0,1,1,6,164,162,8,6,0,0
2015,0,1,0,0,6,186,135,9,2,3,0
2016,1,1,0,0,4,160,122,10,4,0,2
2017,2,0,0,0,11,195,148,11,2,3,0
2018,2,1,0,1,3,168,129,4,10,4,0
2019,1,0,2,1,3,144,99,9,7,4,0
