year,age,sex,TB,TBM
2000,15-24,male,480,3
2000,25-34,male,838,7
2000,35-44,male,555,3
2000,45-54,male,441,3
2000,55-64,male,402,7
2000,65+,male,756,5
2001,15-24,male,517,3
2001,25-34,male,875,15
2001,35-44,male,600,9
2001,45-54,male,442,8
2001,55-64,male,380,8
2001,65+,male,676,9
2002,15-24,male,534,10
2002,25-34,male,1016,17
2002,35-44,male,683,17
2002,45-54,male,443,6
2002,55-64,male,370,5
2002,65+,male,703,9
2003,15-24,male,561,0
2003,25-34,male,1166,14
2003,35-44,male,687,4
2003,45-54,male,458,8
2003,55-64,male,342,6
2003,65+,male,639,10
2004,15-24,male,594,6
2004,25-34,male,1159,30
2004,35-44,male,754,9
2004,45-54,male,493,8
2004,55-64,male,345,5
2004,65+,male,634,6
2005,15-24,male,671,8
2005,25-34,male,1304,13
2005,35-44,male,860,18
2005,45-54,male,499,15
2005,55-64,male,379,10
2005,65+,male,653,14
2006,15-24,male,680,12
2006,25-34,male,1260,28
2006,35-44,male,857,23
2006,45-54,male,519,20
2006,55-64,male,376,7
2006,65+,male,671,11
2007,15-24,male,640,10
2007,25-34,male,1328,26
2007,35-44,male,841,22
2007,45-54,male,531,9
2007,55-64,male,360,8
2007,65+,male,632,14
2008,15-24,male,666,8
2008,25-34,male,1292,26
2008,35-44,male,890,24
2008,45-54,male,577,15
2008,55-64,male,360,9
2008,65+,male,600,8
2009,15-24,male,726,11
2009,25-34,male,1300,23
2009,35-44,male,949,20
2009,45-54,male,600,16
2009,55-64,male,407,10
2009,65+,male,700,13
2010,15-24,male,683,15
2010,25-34,male,1328,28
2010,35-44,male,887,23
2010,45-54,male,603,16
2010,55-64,male,414,10
2010,65+,male,666,12
2011,15-24,male,774,17
2011,25-34,male,1409,24
2011,35-44,male,949,25
2011,45-54,male,636,10
2011,55-64,male,437,9
2011,65+,male,715,14
2012,15-24,male,749,13
2012,25-34,male,1409,28
2012,35-44,male,939,17
2012,45-54,male,627,21
2012,55-64,male,449,9
2012,65+,male,652,16
2013,15-24,male,614,14
2013,25-34,male,1220,20
2013,35-44,male,909,18
2013,45-54,male,623,10
2013,55-64,male,418,16
2013,65+,male,609,15
2014,15-24,male,484,12
2014,25-34,male,1058,17
2014,35-44,male,833,15
2014,45-54,male,613,15
2014,55-64,male,423,12
2014,65+,male,606,12
2015,15-24,male,412,7
2015,25-34,male,887,14
2015,35-44,male,817,23
2015,45-54,male,540,13
2015,55-64,male,378,14
2015,65+,male,511,19
2016,15-24,male,425,14
2016,25-34,male,833,13
2016,35-44,male,764,16
2016,45-54,male,567,7
2016,55-64,male,396,5
2016,65+,male,506,9
2017,15-24,male,383,7
2017,25-34,male,722,7
2017,35-44,male,678,15
2017,45-54,male,496,17
2017,55-64,male,366,10
2017,65+,male,501,10
2018,15-24,male,361,9
2018,25-34,male,644,12
2018,35-44,male,612,14
2018,45-54,male,466,7
2018,55-64,male,338,10
2018,65+,male,450,10
2019,15-24,male,387,8
2019,25-34,male,709,15
2019,35-44,male,600,12
2019,45-54,male,481,9
2019,55-64,male,388,13
2019,65+,male,463,6
2000,15-24,female,446,10
2000,25-34,female,689,10
2000,35-44,female,409,4
2000,45-54,female,339,6
2000,55-64,female,334,5
2000,65+,female,602,6
2001,15-24,female,476,11
2001,25-34,female,660,13
2001,35-44,female,437,7
2001,45-54,female,332,2
2001,55-64,female,285,1
2001,65+,female,607,11
2002,15-24,female,568,14
2002,25-34,female,853,13
2002,35-44,female,472,9
2002,45-54,female,346,5
2002,55-64,female,261,4
2002,65+,female,604,6
2003,15-24,female,536,16
2003,25-34,female,858,17
2003,35-44,female,514,19
2003,45-54,female,349,8
2003,55-64,female,239,6
2003,65+,female,513,13
2004,15-24,female,554,6
2004,25-34,female,962,16
2004,35-44,female,523,8
2004,45-54,female,353,5
2004,55-64,female,259,8
2004,65+,female,512,14
2005,15-24,female,611,13
2005,25-34,female,1033,22
2005,35-44,female,617,21
2005,45-54,female,367,12
2005,55-64,female,265,6
2005,65+,female,576,11
2006,15-24,female,661,8
2006,25-34,female,1029,20
2006,35-44,female,619,12
2006,45-54,female,421,8
2006,55-64,female,283,9
2006,65+,female,538,6
2007,15-24,female,585,9
2007,25-34,female,1045,27
2007,35-44,female,604,26
2007,45-54,female,367,11
2007,55-64,female,302,7
2007,65+,female,528,15
2008,15-24,female,594,12
2008,25-34,female,1073,17
2008,35-44,female,688,20
2008,45-54,female,425,9
2008,55-64,female,278,6
2008,65+,female,532,14
2009,15-24,female,601,14
2009,25-34,female,1062,26
2009,35-44,female,687,12
2009,45-54,female,459,8
2009,55-64,female,338,6
2009,65+,female,572,11
2010,15-24,female,584,18
2010,25-34,female,948,15
2010,35-44,female,621,11
2010,45-54,female,421,8
2010,55-64,female,307,6
2010,65+,female,526,12
2011,15-24,female,579,13
2011,25-34,female,1041,24
2011,35-44,female,657,12
2011,45-54,female,448,7
2011,55-64,female,341,11
2011,65+,female,496,16
2012,15-24,female,535,21
2012,25-34,female,1014,19
2012,35-44,female,645,14
2012,45-54,female,429,5
2012,55-64,female,310,8
2012,65+,female,542,13
2013,15-24,female,432,9
2013,25-34,female,896,20
2013,35-44,female,589,13
2013,45-54,female,437,5
2013,55-64,female,298,11
2013,65+,female,511,12
2014,15-24,female,387,10
2014,25-34,female,744,13
2014,35-44,female,495,19
2014,45-54,female,362,10
2014,55-64,female,269,8
2014,65+,female,475,11
2015,15-24,female,321,9
2015,25-34,female,692,24
2015,35-44,female,456,12
2015,45-54,female,338,10
2015,55-64,female,221,4
2015,65+,female,428,10
2016,15-24,female,306,6
2016,25-34,female,613,19
2016,35-44,female,447,12
2016,45-54,female,332,8
2016,55-64,female,258,8
2016,65+,female,443,10
2017,15-24,female,296,7
2017,25-34,female,534,14
2017,35-44,female,433,10
2017,45-54,female,307,5
2017,55-64,female,238,10
2017,65+,female,383,7
2018,15-24,female,261,5
2018,25-34,female,449,4
2018,35-44,female,415,7
2018,45-54,female,300,11
2018,55-64,female,224,5
2018,65+,female,359,10
2019,15-24,female,251,8
2019,25-34,female,452,13
2019,35-44,female,393,8
2019,45-54,female,309,2
2019,55-64,female,210,1
2019,65+,female,302,7
