year,age,Male,Female
2015,15-24,15,12
2015,25-34,33,15
2015,35-44,33,14
2015,45-54,24,23
2015,55-64,24,19
2015,>=65,33,28
2016,15-24,21,15
2016,25-34,19,15
2016,35-44,32,17
2016,45-54,31,9
2016,55-64,30,18
2016,>=65,25,21
2017,15-24,25,16
2017,25-34,36,16
2017,35-44,44,17
2017,45-54,38,21
2017,55-64,24,11
2017,>=65,20,24
2018,15-24,22,19
2018,25-34,22,14
2018,35-44,26,13
2018,45-54,24,23
2018,55-64,22,12
2018,>=65,21,17
2019,15-24,8,12
2019,25-34,22,23
2019,35-44,30,18
2019,45-54,31,16
2019,55-64,29,22
2019,>=65,38,32
