g_whoregion,AFR,AMR,EMR,EUR,SEA,WPR,Global
TBM.hn.treated,"12,000 (11,500 - 12,500)","3,190 (3,010 - 3,370)","7,110 (6,490 - 7,740)","3,030 (2,870 - 3,200)","45,000 (41,100 - 49,000)","21,200 (19,300 - 23,000)","91,600 (87,100 - 96,000)"
TBM.hp.treated,"16,800 (11,900 - 21,700)","1,180 (0 - 2,570)","209 (0 - 4,550)","1,380 (0 - 2,790)","5,020 (0 - 33,300)","1,470 (0 - 14,600)","26,000 (0 - 58,000)"
TBM.treated,"28,800 (23,900 - 33,700)","4,370 (2,970 - 5,760)","7,320 (2,930 - 11,700)","4,420 (3,000 - 5,830)","50,100 (21,500 - 78,700)","22,600 (9,420 - 35,900)","118,000 (85,400 - 150,000)"
TBM.hn.untreated,"19,900 (14,500 - 25,300)","1,330 (750 - 1,920)","8,160 (2,950 - 13,400)","872 (136 - 1,610)","28,700 (3,550 - 53,800)","10,600 (2,260 - 19,000)","69,500 (42,000 - 97,100)"
TBM.hp.untreated,"18,700 (11,400 - 26,000)",481 (253 - 710),223 (97 - 350),297 (0 - 905),"2,930 (0 - 6,040)","821 (281 - 1,360)","23,500 (15,500 - 31,500)"
TBM.untreated,"38,600 (29,500 - 47,700)","1,810 (1,190 - 2,440)","8,380 (3,170 - 13,600)","1,170 (214 - 2,120)","31,600 (6,290 - 56,900)","11,400 (3,070 - 19,800)","93,000 (64,400 - 122,000)"
TBM.hn.total,"31,900 (26,500 - 37,300)","4,520 (3,910 - 5,130)","15,300 (10,000 - 20,500)","3,900 (3,150 - 4,660)","73,700 (48,300 - 99,100)","31,800 (23,200 - 40,400)","161,000 (133,000 - 189,000)"
TBM.hp.total,"35,500 (26,800 - 44,300)","1,660 (255 - 3,070)","432 (0 - 4,780)","1,680 (150 - 3,210)","7,950 (0 - 36,400)","2,290 (0 - 15,400)","49,600 (16,600 - 82,500)"
TBM.total,"67,400 (57,100 - 77,800)","6,180 (4,650 - 7,710)","15,700 (8,890 - 22,500)","5,590 (3,880 - 7,290)","81,700 (43,500 - 120,000)","34,100 (18,400 - 49,700)","211,000 (168,000 - 254,000)"
TBMdeaths.hn.treated,"1,880 (1,800 - 1,960)",543 (512 - 575),"1,190 (1,080 - 1,300)",545 (516 - 575),"7,680 (6,970 - 8,380)","4,350 (3,880 - 4,810)","16,200 (15,300 - 17,000)"
TBMdeaths.hp.treated,"9,700 (6,890 - 12,500)","720 (0 - 1,590)","127 (0 - 2,920)","846 (0 - 1,700)","3,090 (0 - 21,300)","997 (0 - 11,800)","15,500 (0 - 37,100)"
TBMdeaths.treated,"11,600 (8,770 - 14,400)","1,260 (391 - 2,140)","1,320 (0 - 4,110)","1,390 (533 - 2,250)","10,800 (0 - 29,000)","5,340 (0 - 16,100)","31,700 (10,100 - 53,300)"
TBMdeaths.hn.untreated,"19,900 (14,500 - 25,300)","1,330 (750 - 1,920)","8,160 (2,950 - 13,400)","872 (136 - 1,610)","28,700 (3,550 - 53,800)","10,600 (2,260 - 19,000)","69,500 (42,000 - 97,100)"
TBMdeaths.hp.untreated,"18,700 (11,400 - 26,000)",481 (253 - 710),223 (97 - 350),297 (0 - 905),"2,930 (0 - 6,040)","821 (281 - 1,360)","23,500 (15,500 - 31,500)"
TBMdeaths.untreated,"38,600 (29,500 - 47,700)","1,810 (1,190 - 2,440)","8,380 (3,170 - 13,600)","1,170 (214 - 2,120)","31,600 (6,290 - 56,900)","11,400 (3,070 - 19,800)","93,000 (64,400 - 122,000)"
TBMdeaths.hn.total,"21,800 (16,300 - 27,200)","1,880 (1,290 - 2,460)","9,350 (4,140 - 14,600)","1,420 (681 - 2,150)","36,300 (11,200 - 61,500)","15,000 (6,600 - 23,300)","85,700 (58,200 - 113,000)"
TBMdeaths.hp.total,"28,400 (20,600 - 36,300)","1,200 (300 - 2,100)","350 (0 - 3,140)","1,140 (91 - 2,200)","6,020 (0 - 24,500)","1,820 (0 - 12,600)","39,000 (16,000 - 62,000)"
TBMdeaths.total,"50,200 (40,700 - 59,700)","3,080 (2,000 - 4,150)","9,700 (3,790 - 15,600)","2,560 (1,280 - 3,840)","42,400 (11,200 - 73,600)","16,800 (3,140 - 30,400)","125,000 (88,800 - 161,000)"
